idx,review_id,title_clean,text_clean,rating,sentiment_class,date,year,month,quarter,period,trip_type,reviewer_type,reviewer_name,word_count,like_count,has_images,image_count,image_urls,has_sacred_content,has_ritual,has_actor,has_space,has_spiritual,has_festival,has_rule,language,is_translated,original_language,review_link
192,133604280,i like it most,lifelong desire to see pasupatinanth fulfilled.i like location,5,positive,2012-07-06,2012,7,3,early_period,family,likely_pilgrim,atul1962,8,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r133604280-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
193,133718873,I ndia in Nepal,"If you cross the river and go a ways up the far side, you can see into the temple and also see the cremations. I think the young sadus (holy men) are fakes.",5,positive,2012-07-07,2012,7,3,early_period,friends,likely_tourist,BillSeaver,33,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r133718873-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
194,133974385,Amazing,"Again, another must see as we just don't have anything like this in Europe. The Sardhus are just amazing and very photogenic (for a small fee)",5,positive,2012-07-09,2012,7,3,early_period,couples,likely_tourist,Scoobydoo27,26,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r133974385-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
195,133896136,Cultural diversity at its best,"This Hindu temple is a must see. There are over 200 cremations daily visible to the public. We were entertained by dozens of monkeys while witnessing a cremation of a public official. The process is symbolic, religious, intricate and steeped in Hindu tradition. We were lucky enough to have a guide share with us the process and tradition.",5,positive,2012-07-09,2012,7,3,early_period,friends,likely_tourist,Stephanie Simmons,58,0,False,0,,True,True,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r133896136-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
196,134017847,Nath - O - K - Nath........Pashupatinath,Jai Bholey...........must must visit for all Hindus when in Kathmandu. It is not only a temple it is one of the pillars of Hinduism.,5,positive,2012-07-10,2012,7,3,early_period,couples,likely_tourist,anindyamandal,24,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134017847-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
197,134100425,Pashupatinath Temple,"The Cremation Grounds is like a specticle...a show for visitors....it was very upsetting. Its sad to see the place where Locals are bidding farewell to their departed ones being turned into a show...the stentch of burning flesh....the muck in the ""Holy River""...the Only SORE POINT in an otherwise GLORIOUS NEPAL.",1,negative,2012-07-11,2012,7,3,early_period,couples,likely_tourist,ChefLall,50,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134100425-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
198,134154972,Pashupatinath,"Pashupatinath Temple is the oldest Hindu temple in Kathmandu. It is not known for certain when Pashupatinath Temple was founded. But according to Nepal Mahatmaya and Himvatkhanda,[2] the deity here gained great fame there as Pashupati, the Lord of the Animals. Pashupatinath Temple's existence dates back to 400 A.D. The richly-ornamented pagoda houses the sacred linga or holy symbol of Lord Shiva. Thousands of pilgrims from all over the world come to pay homage to this temple, that is also known as 'The Temple of Living Beings'.",5,positive,2012-07-11,2012,7,3,early_period,family,likely_pilgrim,Ram chandra B,87,5,True,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/9d/f6/25/filename-image-246-jpg.jpg,True,False,True,True,True,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134154972-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
199,134722532,Crowded,"The Temple how ever allows only hindus to pass in to temple and temple has a history which can be heard by local guide at temple! ..however there is little management skill missing inside, i hope authorities look into it! .. But every one has to Visit temple",4,positive,2012-07-18,2012,7,3,early_period,solo,mixed,Rajesh,48,2,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134722532-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
200,134728859,Excellent and Mind blowing,It was sea of colours of faith on first monday of Sawan at Pashupatinath.Lakhs of people worshipping,5,positive,2012-07-18,2012,7,3,early_period,friends,likely_tourist,Babbal,17,2,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134728859-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
201,134953607,Sacred hindu temple,Saw this temple and took some pic from outside. You are not allowed to enter inside. Only hindu and buddist would be allowed to enter the main temple.,5,positive,2012-07-20,2012,7,3,early_period,couples,likely_tourist,Jack N,28,4,False,0,,True,False,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134953607-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
202,134994161,Temple of Shiva,"This is usually the first place shown to you on your visit to Kathmandu during sight seeing. Leather articles and photos are not allowed inside the temple premises although you can take snaps outside the temple. The diety here has four faces , in case you need to perfrom pooja a token is to be taken one day prior to your visit. When we entered temple we could see line at 4 different doors , not sure which one to take we managed to take all 4 spending some time in the line.The shivling is huge so you dont have to struggle looking at it. For photos when you come out of the temple wear your shoes and walk across the creamtion area to the small hill opposite the temple. Perhaps you can have good snaps of the locality and the temple. You have benches there to spend time. You can also come across sadhus engaged in photo shoot for a fee.",4,positive,2012-07-21,2012,7,3,early_period,friends,likely_tourist,AmitJoshi_11,162,5,True,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/a6/50/b8/filename-dsc05898-jpg.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/a6/50/d5/filename-img-0124-jpg.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/a6/50/e7/filename-img-0126-jpg.jpg,True,False,True,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r134994161-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
203,135013893,Average temple w/ great histroy and relics,"Too crowded and somewhat dirty!! I guess it's for believers and ardent devotees. Sorry..but only Hindus are allowed in here, which i did not like.",3,neutral,2012-07-21,2012,7,3,early_period,,likely_tourist,Sanjay S,25,0,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135013893-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
204,135234741,Watch our for the dead!,"Wonderful and truly interesting place. Quite expensive to visit but worth the $8 entrance. The river is lined with 24/7 cremations, whereas up in the woods at the top, the small shrines and temples, where the Red Monkeys hang out, must have been the inspiration of the jungle book's scene ""i wanna be like you""",5,positive,2012-07-24,2012,7,3,early_period,friends,likely_tourist,Barnaby M,55,0,False,0,,True,True,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135234741-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
205,135524667,Get all your senses overwhelmed by this unique Hindu place,"Combine Pashupatinath with Bouddhanath afterwards. The contrast between a Hindu and Buddhist atmosphere -so closely together in terms of location- can t be more intense. Pashupatinath overwhelms every visitor with its beautiful temple complex and ritual burnings at the river, its omnipresent colors and scents, and its constant crowd of people along cows and monkeys. By contrast, bouddhanatah, located maybe only a km from Pashupatinath, submerges you in a complete opposite atmosphere. The huge stupa are an attraction for spiritual rest that you feel everywhere around you. It is good to do Pashupatinath first thing in the morning, take 1-2 hours to wander around and taste the atmosphere before it becomes too hot and then head to Bouddhanath to refind your breath, relax, make a spiritual tour around the stupa and finally sit down for lunch in a nice restaurant with view on the place.",5,positive,2012-07-27,2012,7,3,early_period,solo,mixed,Filip W,145,0,False,0,,True,True,True,False,True,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135524667-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
206,135660961,A lot of spirituality,"This temple is very importand for hindu. You can see cremations and a lot of temple. To do with a guide, so he can explain a lot of thing about this beautiful temple.",5,positive,2012-07-28,2012,7,3,early_period,couples,likely_tourist,giusy1982,33,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135660961-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
207,135842587,Religious place!,"I am French and my wife is Nepali; so religious so I frequently have to take her to different temples of Kathmandu. I go here so often and get amazed with lots of people worshiping Lord Shiva. I am not Hindu so I am not allowed to get inside the main temple however I respect the norms and values of the people. You feel so religious whenever you reach the place. You will probably get blessing too....you do not need to go inside the main temple to get the blessing, just worship from your heard to your soul!",5,positive,2012-07-30,2012,7,3,early_period,couples,likely_tourist,Rhythm D,98,1,False,0,,True,False,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135842587-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
208,135888135,No need to be apprehensive,"I was a tad apprehensive about visiting as I didn't want to be perceived as an 'intrusive tourist', however after a few minutes into the visit I was completely at ease and thoroughly enjoyed the experience. The taxi from Thamel should cost no more then 250RS, entrance 500RS and it is worth while to hire a guide as a good one can be very informative. The guides won't say how much thier services cost and like you to make a 'donation' at the end of the tour. However, they will make subtle hints throughout the tour saying 'I'm a poor student and need books' - which to me seemed a typical scam. We paid our guide 600Rs for a two hour tour, although he mentioned that 40$ US would get him a new text book.",5,positive,2012-07-31,2012,7,3,early_period,couples,likely_tourist,Orwellwasright,135,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135888135-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
209,135960606,JUST A TEMPLE,The approach is dirty and only Hindus are allowed to enter. If you do not know the cultural significance of the temple you will not be able to appreciate it much.,3,neutral,2012-08-01,2012,8,3,early_period,business,likely_tourist,Nathaniel D,31,1,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r135960606-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
210,136706203,One day I will be part of the show,This time I was struck by the tragedy of it as you see relatives weeping and legs sticking out of the pyres.,5,positive,2012-08-09,2012,8,3,early_period,couples,likely_tourist,senorsolomon,22,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r136706203-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
211,136948643,Helps to understand the culture,"Although this is one of my least favorite places in the world, it is an essential part of Kathmandu, and should be seen at least once. Western cultures tend to isolate death from life, but there is no hiding it here. Watching the families publically mourn their relatives is always heartwrenching for me. I do not believe I would have the courage to watch my loved one's cremation, but seeing them endure it gives a glimpse into why the Nepalese are so strong of constitution. Sensory overload is part of the experience. Remember that you are not on a NatGeo shoot and the people at the temple are not actors. Even if you don't ""get it"", please respect that this is a deeply spiritual experience for many of the people there. Even so, while the Babas (Hindu priests) may allow you to take their photo or offer you puja (Hindu blessing where they put a powder mark on your forehead called a tilak), compensation in the form of a monetary ""offering"" will probably be required. Going to the temple with someone who understands the religion thoroughly will help you gain much deeper insight into the deluge of symbolism. If you do not have any Nepalese friends to walk you through, be careful to hire a reputable guide; not everyone who offers their services really knows what they're talking about, but they surely will be able to make something up! The fee gets you onto the grounds and from here you can observe the funerals and many of the murtis (statues), but you must be Hindu in order to enter the actual temple. Try not to be offended that a higher fee is charged to non Hindu westerners. After all, it is their religion and we are only spectators. I don't think I would take young kids here unless the family is Hindu or you are willing and able to answer an awful lot of questions and deal with the possibity of nightmares. It can be intense, especially if you are raising your children to be spiritually aware. It may be tempting to buy souveniers, but the prices are exhorbitant. Do not pick the marijuana outside the gate. It is not free and someone IS watching. The Babas may be smoking it, but if you try to buy it or pick it, you could end up meeting a plain clothes Nepali policeman in short order. This is not personal experience, but something that has been publicized in the Nepali papers in recent times. The 70s are over.",5,positive,2012-08-12,2012,8,3,early_period,friends,likely_tourist,MaryLTRN,426,0,False,0,,True,True,True,False,True,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r136948643-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
212,137326746,Pasupatinath,"Holy place. No photography allowed. Right place to buy authentic Rudhraksha. Try not to go on a Monday as its the day, locals offer prayers and its very crowded.",4,positive,2012-08-16,2012,8,3,early_period,solo,mixed,shaance,29,1,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r137326746-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
213,137448732,Interesting place but you can't access the main temples unless Hindu,This is supposed to be the biggest Hindu temple in the world and it is interesting although a large part of it is blocked off exclusively for Hindus so the temple is a bit inaccessible to the general public.,3,neutral,2012-08-17,2012,8,3,early_period,solo,mixed,jwerner,39,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r137448732-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
214,137593209,Lord Shiva needs care,Badly maintained temple....monkeys keep jumping and walking all around....we saw the evening aarti besides the Bagmati river. It was average at best.,3,neutral,2012-08-18,2012,8,3,early_period,couples,likely_tourist,krishnadorai,22,0,False,0,,True,True,True,True,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r137593209-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
215,137977167,A must visit for a Hindu,Pashupatinath is a temple which every Hindu should visit atleast once during the lifetime It is known as one of the most miraculous temple in the world We even got a chance to see a Bhajan song perfomed by the devotees on our visit the sad part only Hindus are allowed inside the temple so if you are a foreigner u would not be allowed to enter,5,positive,2012-08-22,2012,8,3,early_period,friends,likely_tourist,Tej P,67,0,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r137977167-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
216,138028983,Must visit.,I liked the ambience of the temple. I wish if they took better care of the temple as it was unclean in several places. It's a place not to be missed.,5,positive,2012-08-22,2012,8,3,early_period,solo,mixed,Anand1978,31,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138028983-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
217,138237348,Worth a look,It's one of Kathmandu's major sites. I thought I'd find seeing people being cremated disturbing but once I got there I realized they are actually dead and don't feel a thing. It's 500 rupees to get into the site but a lot of tourists approach it along the river from the airport road where you won't get stopped to buy a ticket. The guys offering to be a guide can get annoying but just pretend you spent all your money on the cab fare. They will go away.,4,positive,2012-08-24,2012,8,3,early_period,friends,likely_tourist,Mr_Nomad,88,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138237348-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
218,138277882,A must visit place - But sadly not maintained at all,"As a Hindu, it is a must vist place for us.Thus there was no point being in Kathmandu and not going there. The temple is made very beautifully and is really a big one. The atmosphere is really great. But that is all, the experience is worst I had ever in any temple. Starting from entering to keep your shpes to unwanted fakirs, there are issues everywhere. There is no cleanliness at all and that is the biggest issue. No maintainance it seems is done. I must say, in my life this was the first temple where I did not feel a sense of peace which somehow magically comes in even a crowded temple.",2,negative,2012-08-24,2012,8,3,early_period,couples,likely_tourist,Sumit Jain,114,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138277882-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
219,138440627,"Not very impressive, but still worth a visit","I might be a bit biased on this, because I was really tired by the time I visited this temple so I did not find it as interesting as the other temples. Plus some won't allow you to enter the temple if you are not a Hindu. But still worth a visit a visit. It is interesting to witness some Hindu traditions performed outside the temples.",3,neutral,2012-08-26,2012,8,3,early_period,friends,likely_tourist,Alex H,66,0,True,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/c9/ef/2a/pashupatinath-temple.jpg,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138440627-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
220,138626062,Another world,Not for the squeamish but a fascinating place even though non-hindus are not allowed into the main temple area. This is a truly Nepalese experience.,5,positive,2012-08-27,2012,8,3,early_period,couples,likely_tourist,JoSmall,25,0,False,0,,True,False,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138626062-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
221,138557117,Its not all Buddhism in Nepal,"Many people think of Nepal and think Buddhism, but Hinduism is more common in the Katmandu valley and the average Nepali will tell you they're the same thing anyway. So its good to pay a visit to the holiest site in Nepal. It might be good to get a guide or any Nepali friends you've made to take you so they can explain some things to you. For those coming from India it may seem a bit small scale but its a well preserved site and has lots of interest. A word of warning though, they do cremate bodies and as with the rest of the world people at funerals don't think of them as something for tourists to take photos of. Whilst I was there once I saw a camera nearly end up in the river (not the place you'd want it to end up) when a passer by saw what the tourist was doing with his telephoto. So remember to act like a human being and you'll have a very interesting and fun time. Up the steps theres a game people play where you try to walk across the stairs to put your hands in a hole (whilst having your eyes closed) just one of the things you wouldn't expect in a temple complex. Oh and watch those monkeys!",5,positive,2012-08-27,2012,8,3,early_period,solo,mixed,Jon M,221,0,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138557117-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
222,138750302,Impressive Hindu site,"This is a pretty huge temple complex that is sadly not very well maintained. However, there are interesting sights to see, even if non Hindus are not allowed inside the main temple. There are the obvious Hindu cremation ceremonies but please be aware this is a funeral, not sightseeing objects, and thus I don't think it is quite appropriate to take photos of the process while also dressed in pretty revealing outfit (I saw one tourist like this, hasn't she heard it is one of the holiest sites in Nepal?). Anyway, it is also worthwhile to observe the complex as there are interesting Hindu stupas and other objects to see and of course, there are what I suspect, fake Sadus (Hindu holy men) who will pose for photos for you for a nominal fee. There is also a deer park nearby that if you care to explore, you may encounter some deers from behind the fence.",4,positive,2012-08-29,2012,8,3,early_period,solo,mixed,HenryOnly,156,0,True,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/cd/4a/9b/pretty-big-and-interesting.jpg,True,True,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138750302-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
223,138755615,Peace of Mind,You need to definitely take some time out to view this architectural marvel even though you are an atheist...entry into the temple premises is only for Hindus..for others you can get to the main entrance only. Cameras are not allowed within the temple premises. You need to switch off or keep your mobile on silent mode inside... there is a hindu cremation ground just adjoining to the temple. there is the Bagmati river flowing next to the temple,5,positive,2012-08-29,2012,8,3,early_period,business,likely_tourist,STalapatra,78,0,False,0,,True,True,False,True,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138755615-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
224,138854333,For some bone-chilling for others elevating experience!,"In any case it is a once-in-a-lifetime journey - for a Westerner, that is - into another approach towards death and morning. A must see! Beautiful, meaningful, informative. You can learn more about Hindus and Hinduism here than anywhere else in the ""outside world""! Be respectful and very open!!",5,positive,2012-08-30,2012,8,3,early_period,couples,likely_tourist,Gabor188644,49,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138854333-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
225,138893688,the best in kathmandu,"i am a devitee of lord siva and pasupatinath is an very holy shrine for me.i have visited it at least 20 times earlier. this time i went after 4 years. and what a transformation !! the periphery development is excellent.the gardens,approach and exit roads etc. are very good now.the river bank is also very beautiful now.the facilities have improved tremendously. and the lord himself is benevolent as usual.will definitely visit again. hearty thanks to the temple trust for all round improvements in this holiest of shrine.",5,positive,2012-08-30,2012,8,3,early_period,friends,likely_tourist,sanjaya58,87,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r138893688-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
226,139443974,Cremations,"I have read about public cremations and it was most interesting to see first hand how the cremation ceremonies were carried out. It was raining the day I was there, which made it even more dismal. Just around the corner from the cremations was an ""old folks home"" somewhat dismal also, but interesting.",4,positive,2012-09-04,2012,9,3,early_period,solo,mixed,Dan W,53,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r139443974-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
227,139536242,Eye opener.,"This is the first I have seen a cremation which I witnessed right from the start. The tour guide told us that we are lucky, we get to see a cremation from the beginning! It is open and public, we sat across the river and could see the ceremony. We didn't go into the temple itself as it is only open to devotees, however we did get to take beautiful pictures from across the hill. Do visit this this temple and witness the cremation, it is eye opening to say the least.",4,positive,2012-09-05,2012,9,3,early_period,couples,likely_tourist,ChyH,92,0,False,0,,True,True,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r139536242-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
228,139706529,A must see temple for Hindus,"Just travel once to see the Temple,and a must for all the devotees of Lord Shiva a great structure and a life time activity also get the aura of the peaceful environment. The Maha Arathi at 6.00 PM is enchanting,",5,positive,2012-09-07,2012,9,3,early_period,family,likely_pilgrim,Mallik S,40,1,False,0,,True,True,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r139706529-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
229,140160872,temple,the temple gives some advise of human being life and the temple made up of single rock and also near the single tree house,5,positive,2012-09-13,2012,9,3,early_period,family,likely_pilgrim,santosh221,24,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r140160872-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
230,140904950,No worth to pay fee 500 Rs,Becouse you are not allowed to enter inside of the temple dont pay the fee of 500 rs. when we went to the ghat nobody ask the payment so i guees its free.,3,neutral,2012-09-22,2012,9,3,early_period,couples,likely_tourist,tomjorss,33,1,False,0,,True,False,False,True,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r140904950-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
231,141107179,Ancient and Eternal,"Although foreigners are not allowed into the main temples, one can explore the extensive temple grounds. There is a feeling of sanctity that permeates the whole environment. It's easy to forget that you are surrounded by a city of almost 5 million people. The noise and pollution fall away and you can enjoy the feeling of peacefulness. I can see why it has been considered a special and holy site for many generations.",5,positive,2012-09-24,2012,9,3,early_period,friends,likely_tourist,MARKOLA111,73,1,False,0,,True,False,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r141107179-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
232,141130890,Not exactly a place for people who has a low tolerance level of human cremation,"It is indeed a sad place, this is where they cremate dead hindus, they do it by the river bank. Be aware of taking picture as some consider it offensive. Just cross the bridge to the opposite side, look for a nice place to sit, and zoom all the way your camera and take a quick snap. Monkeys are everywhere, be careful with your cams or bottled water, they might just snatch it.",3,neutral,2012-09-24,2012,9,3,early_period,,likely_tourist,mockamore,73,2,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r141130890-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
233,141961252,Tranquil,"Pashupati is a beautiful old set of temples and the current spot for cremations--Its a little strange watching cremations just across the river--seeing full bodies--but its still a serene atmosphere--if you go up into Pashupati, atop the hill--you'll get great views and see old sadu babas (drifting holy men) hanging out, smoking chillum, and drinking chai.",4,positive,2012-10-03,2012,10,4,early_period,solo,mixed,mira m,56,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r141961252-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
234,141984963,An eye opener!,This is in-your-face Kathmandu at its best. But you must have a stomach for burning bodies and transient sadhus etc. This is a place to see but probably not to linger. Note that not all of this site is open to non-Hindus.,4,positive,2012-10-04,2012,10,4,early_period,friends,likely_tourist,dr_iggy,42,2,False,0,,True,False,True,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r141984963-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
235,141969605,Pashupatinath Temple,"Interesting , Funny though it may sound walking in I actually saw a few monkeys mimicing the humans and were going round the shivling in silence heads bent ! Unfortunately as I tried to take a oic they ran off !",4,positive,2012-10-04,2012,10,4,early_period,family,likely_pilgrim,DeepaNebb,41,2,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r141969605-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
236,142080622,Fascinating place,"Although I felt uncomfortable watching families going through their very personal cremation ceremonies, as well as a fair amount of physical and psychological unease at breathing in smoke containing human ashes, my visit to Pashupatinath was totally worthwhile. Not just the ceremony, but the architecture, the colours, the intense characters I photographed...well worth going.",4,positive,2012-10-05,2012,10,4,early_period,solo,mixed,Deanno,54,37,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r142080622-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
237,142177863,A difficult place..,"worth going but not an easy experience, better go in the afternoon/evening otherwise might be too hot and intense (the smoke everywhere doesn't help either..)",4,positive,2012-10-06,2012,10,4,early_period,friends,likely_tourist,Talia D,25,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r142177863-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
